Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1214,44.0,Self Enquiry,0,8.0,Salaried,1,2,0,3,0,1,2.0,1,3,1,0,Senior Manager,22879.0
3829,35.0,Self Enquiry,2,20.0,Small Business,2,2,3,3,0,1,3.0,0,0,1,2,Senior Manager,27306.0
2622,47.0,Self Enquiry,2,7.0,Small Business,1,3,3,3,2,1,3.0,0,1,1,2,Senior Manager,29131.0
1543,32.0,Self Enquiry,0,6.0,Salaried,2,2,2,1,1,1,2.0,0,2,1,0,Manager,21220.0
3144,59.0,Self Enquiry,0,9.0,Large Business,2,2,3,0,0,2,6.0,0,1,1,2,Executive,21157.0
907,44.0,Self Enquiry,2,11.0,Small Business,2,1,2,2,1,0,1.0,0,4,1,1,VP,33213.0
1426,32.0,Self Enquiry,0,35.0,Salaried,1,1,3,0,1,2,2.0,0,2,1,0,Executive,17837.0
4269,27.0,Self Enquiry,2,7.0,Salaried,2,2,3,1,0,1,3.0,0,4,0,2,Manager,23974.0
261,38.0,Company Invited,2,8.0,Salaried,2,1,3,1,0,0,4.0,0,4,1,1,Manager,20249.0
4223,32.0,Self Enquiry,0,12.0,Large Business,2,2,3,0,0,1,2.0,1,3,1,1,Executive,23499.0
243,40.0,Self Enquiry,0,30.0,Large Business,2,2,2,1,0,1,2.0,0,2,1,1,Manager,18319.0
3533,38.0,Self Enquiry,0,20.0,Small Business,2,2,3,1,0,1,3.0,0,0,0,1,Manager,22963.0
228,35.0,Company Invited,2,6.0,Small Business,0,2,2,3,0,3,2.0,0,4,1,0,Senior Manager,23789.0
1110,35.0,Self Enquiry,0,8.0,Salaried,1,2,2,0,2,1,2.0,1,0,1,1,Executive,17074.0
4350,34.0,Self Enquiry,0,17.0,Small Business,2,2,5,0,0,1,2.0,0,4,0,1,Executive,22086.0
3870,33.0,Self Enquiry,0,36.0,Salaried,1,2,4,0,1,3,3.0,0,2,1,1,Executive,21515.0
87,51.0,Self Enquiry,0,15.0,Salaried,2,2,2,0,0,0,4.0,0,2,1,0,Executive,17075.0
1365,29.0,Company Invited,2,30.0,Large Business,2,1,0,0,2,2,2.0,0,2,1,1,Executive,16091.0
378,34.0,Company Invited,2,25.0,Small Business,2,2,1,1,0,2,1.0,1,1,1,2,Manager,20304.0
2522,38.0,Self Enquiry,0,14.0,Small Business,2,1,3,3,0,2,6.0,0,1,0,1,Senior Manager,32342.0
209,46.0,Self Enquiry,0,6.0,Small Business,2,2,2,3,2,1,1.0,0,1,0,0,Senior Manager,24396.0
510,54.0,Self Enquiry,1,25.0,Small Business,2,1,2,3,1,0,3.0,0,2,1,0,Senior Manager,25725.0
2022,56.0,Self Enquiry,0,15.0,Small Business,2,1,2,4,0,1,1.0,0,3,0,0,AVP,26103.0
385,30.0,Company Invited,0,10.0,Large Business,2,1,2,0,0,2,19.0,1,3,1,1,Executive,17285.0
1386,26.0,Self Enquiry,0,6.0,Small Business,2,2,2,0,2,2,1.0,0,4,1,2,Executive,17867.0
2060,33.0,Self Enquiry,0,13.0,Small Business,2,1,2,3,0,1,1.0,0,3,1,0,Senior Manager,26691.0
1946,24.0,Self Enquiry,0,23.0,Salaried,2,2,3,0,1,1,2.0,0,2,1,1,Executive,17127.0
3768,30.0,Self Enquiry,0,36.0,Salaried,2,3,5,1,0,1,2.0,0,4,1,3,Manager,25062.0
1253,33.0,Company Invited,2,8.0,Small Business,1,2,2,1,1,2,1.0,0,0,0,0,Manager,20147.0
2230,53.0,Company Invited,2,8.0,Small Business,1,1,3,3,1,1,3.0,0,0,1,0,Senior Manager,22525.0
3514,29.0,Company Invited,2,14.0,Salaried,2,2,3,1,2,3,2.0,0,2,1,2,Manager,23576.0
1372,39.0,Self Enquiry,0,15.0,Small Business,2,1,2,1,2,1,2.0,0,3,1,0,Manager,20151.0
4366,46.0,Self Enquiry,2,9.0,Salaried,2,3,3,1,1,1,2.0,0,4,1,3,Manager,23483.0
2466,35.0,Self Enquiry,0,14.0,Salaried,1,2,3,3,1,2,2.0,0,2,1,1,Senior Manager,30672.0
4073,35.0,Company Invited,2,9.0,Small Business,1,3,3,0,0,1,8.0,0,4,0,1,Executive,20909.0
4596,33.0,Company Invited,0,7.0,Salaried,1,3,4,0,1,1,8.0,0,2,0,3,Executive,21010.0
2373,29.0,Company Invited,0,16.0,Salaried,1,1,3,0,0,3,2.0,0,3,1,0,Executive,21623.0
1916,41.0,Company Invited,2,16.0,Salaried,2,1,2,1,0,2,1.0,0,0,0,1,Manager,21230.0
3268,43.0,Self Enquiry,0,36.0,Small Business,2,2,5,1,0,3,6.0,0,2,1,1,Manager,22950.0
4329,35.0,Company Invited,2,13.0,Small Business,1,2,5,0,0,1,2.0,0,3,0,2,Executive,21029.0
1685,41.0,Self Enquiry,2,12.0,Salaried,1,2,2,3,0,2,4.0,1,0,0,0,Senior Manager,28591.0
